request_id,doctor_id,leave_type,start_date,end_date,duration_days,status
LR0001,DR001,Casual Leave,2024-09-25,2024-09-28,4,APPROVED
LR0002,DR001,Conference Leave,2024-10-18,2024-10-18,1,APPROVED
LR0003,DR001,Conference Leave,2024-10-22,2024-10-24,3,APPROVED
LR0004,DR001,Casual Leave,2025-10-25,2025-10-29,5,APPROVED
LR0005,DR001,Medical Leave,2024-07-18,2024-07-20,3,APPROVED
LR0006,DR002,Personal Leave,2024-12-05,2024-12-08,4,APPROVED
LR0007,DR002,Medical Leave,2024-02-04,2024-02-04,1,APPROVED
LR0008,DR002,Casual Leave,2025-09-02,2025-09-06,5,APPROVED
LR0009,DR002,Conference Leave,2025-12-24,2025-12-25,2,APPROVED
LR0010,DR003,Personal Leave,2024-04-13,2024-04-17,5,APPROVED
LR0011,DR003,Personal Leave,2025-04-11,2025-04-13,3,APPROVED
LR0012,DR003,Medical Leave,2024-10-13,2024-10-17,5,APPROVED
LR0013,DR003,Casual Leave,2024-09-22,2024-09-22,1,APPROVED
LR0014,DR003,Personal Leave,2025-05-24,2025-05-28,5,APPROVED
LR0015,DR003,Medical Leave,2024-12-01,2024-12-05,5,APPROVED
LR0016,DR003,Personal Leave,2025-02-02,2025-02-06,5,REJECTED
LR0017,DR004,Personal Leave,2025-03-15,2025-03-19,5,APPROVED
LR0018,DR004,Casual Leave,2025-04-02,2025-04-02,1,APPROVED
LR0019,DR004,Casual Leave,2025-10-11,2025-10-13,3,APPROVED
LR0020,DR005,Personal Leave,2025-07-08,2025-07-11,4,APPROVED
LR0021,DR005,Medical Leave,2024-03-25,2024-03-26,2,APPROVED
LR0022,DR005,Casual Leave,2024-02-10,2024-02-12,3,REJECTED
LR0023,DR005,Conference Leave,2024-01-16,2024-01-16,1,APPROVED
LR0024,DR005,Medical Leave,2024-04-20,2024-04-24,5,APPROVED
LR0025,DR006,Casual Leave,2024-12-21,2024-12-24,4,APPROVED
LR0026,DR006,Conference Leave,2025-08-21,2025-08-25,5,APPROVED
LR0027,DR006,Personal Leave,2025-01-21,2025-01-22,2,APPROVED
LR0028,DR007,Casual Leave,2024-09-10,2024-09-14,5,APPROVED
LR0029,DR007,Casual Leave,2025-08-24,2025-08-25,2,APPROVED
LR0030,DR007,Medical Leave,2024-11-17,2024-11-17,1,APPROVED
LR0031,DR007,Personal Leave,2024-10-13,2024-10-15,3,APPROVED
LR0032,DR007,Casual Leave,2024-02-18,2024-02-20,3,APPROVED
LR0033,DR008,Medical Leave,2024-12-25,2024-12-28,4,APPROVED
LR0034,DR008,Casual Leave,2025-06-21,2025-06-23,3,APPROVED
LR0035,DR008,Medical Leave,2025-08-15,2025-08-15,1,APPROVED
LR0036,DR008,Medical Leave,2025-11-24,2025-11-26,3,APPROVED
LR0037,DR009,Conference Leave,2025-09-07,2025-09-10,4,APPROVED
LR0038,DR009,Conference Leave,2025-12-25,2025-12-28,4,APPROVED
LR0039,DR009,Casual Leave,2024-10-15,2024-10-17,3,APPROVED
LR0040,DR009,Medical Leave,2024-04-22,2024-04-22,1,APPROVED
LR0041,DR009,Casual Leave,2025-12-15,2025-12-16,2,APPROVED
LR0042,DR009,Casual Leave,2025-03-19,2025-03-23,5,APPROVED
LR0043,DR010,Casual Leave,2025-04-08,2025-04-09,2,APPROVED
LR0044,DR010,Medical Leave,2024-07-23,2024-07-25,3,APPROVED
LR0045,DR010,Conference Leave,2025-09-04,2025-09-06,3,APPROVED
LR0046,DR011,Casual Leave,2024-07-07,2024-07-10,4,APPROVED
LR0047,DR011,Personal Leave,2024-08-05,2024-08-07,3,APPROVED
LR0048,DR011,Personal Leave,2025-10-18,2025-10-21,4,APPROVED
LR0049,DR011,Medical Leave,2025-08-07,2025-08-10,4,APPROVED
LR0050,DR012,Personal Leave,2025-06-10,2025-06-11,2,APPROVED
LR0051,DR012,Conference Leave,2024-05-17,2024-05-17,1,APPROVED
LR0052,DR012,Personal Leave,2025-08-07,2025-08-11,5,APPROVED
LR0053,DR012,Conference Leave,2025-01-08,2025-01-08,1,APPROVED
LR0054,DR012,Conference Leave,2025-08-05,2025-08-07,3,APPROVED
LR0055,DR013,Casual Leave,2025-04-10,2025-04-12,3,APPROVED
LR0056,DR013,Personal Leave,2024-03-08,2024-03-08,1,REJECTED
LR0057,DR013,Medical Leave,2024-10-21,2024-10-21,1,APPROVED
LR0058,DR013,Medical Leave,2024-07-21,2024-07-25,5,APPROVED
LR0059,DR014,Medical Leave,2024-04-12,2024-04-12,1,APPROVED
LR0060,DR014,Casual Leave,2024-09-23,2024-09-25,3,APPROVED
LR0061,DR014,Medical Leave,2025-05-13,2025-05-15,3,APPROVED
LR0062,DR014,Personal Leave,2025-02-22,2025-02-24,3,APPROVED
LR0063,DR015,Medical Leave,2025-04-14,2025-04-15,2,APPROVED
LR0064,DR015,Conference Leave,2025-08-08,2025-08-08,1,APPROVED
LR0065,DR015,Medical Leave,2025-08-11,2025-08-12,2,REJECTED
LR0066,DR015,Conference Leave,2025-03-22,2025-03-22,1,APPROVED
LR0067,DR015,Casual Leave,2024-12-25,2024-12-29,5,REJECTED
LR0068,DR015,Casual Leave,2025-04-01,2025-04-04,4,APPROVED
